API NO.,District,Lease,Well Number,Permitted Operator,County,Status Date,Status Number,Wellbore Profiles,Filing Purpose,Amend,Total Depth,Stacked Lateral Parent Well DP #,Status,HREF,Submitted_Dt,Approved_Dt,Horizontal Wellbore,Acres
30136844,08,LINK VJ RANCH WEST 30-31,734H,"EOG RESOURCES, INC.(253162)",LOVING,Submitted: 04/02/2024 Approved: 04/04/2024,898514,Horizontal,New Drill,N,14000,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497133860&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9LKRhYNRtHPbBM1gZFBswREgWwYlpy2gjy_tokDqdM6k4_F0PDILzkFmwQWIB8SmapILw1uDbc2PsPAf9mTGMUpGbZbsp4msC5eNqrRWJJCwkc9Ph4qgmmGLzns3dC8We5fi62Tx68eVtYFEGnqbzqHdh0fjPREFoE0TDvuwswabM1Fb4Ddh6rh0K-wiGw2a_t34yS4ZKYPiQpVbreeqgJPt3BAPLs1m5PanFnJVX-tXY8XdbhB_dy9hNJ3Fqx3_PYg41mvdnBVEliB4VgQ08FzQWxJx-_su5_wGB0aTYV8CAAA,2024-04-02,2024-04-04,,652.29
30136845,08,LINK VJ RANCH WEST 30-31,713H,"EOG RESOURCES, INC.(253162)",LOVING,Submitted: 04/02/2024 Approved: 04/04/2024,898515,Horizontal,New Drill,N,14000,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497133881&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9LKRhYNRtHPbBM1gZFBswREgWwYlpy2gjy_tokDqdM6k4_F0PDILzkFmwQWIB8SmapILw1uDbc2PsPAf9mTGMUpGbZbsp4msC5eNqrRWJJCwkc9Ph4qgmmGLzns3dC8We5fi62Tx68eVtYFEGnqbzqHdh0fjPREFoE0TDvuwswabM1Fb4Ddh6rh0K-wiGw2a_t34yS4ZKYPiQpVbXcxVASfbuSEeXJrNyO1PLeSqvtavxoq73SD-7l7CaDqLVzv-exBxrNe6OSuILEHwrAho4LmgtyTi9vddzvkNpJL0al8CAAA,2024-04-02,2024-04-04,,652.29
30136846,08,LINK VJ RANCH WEST 30-31,752H,"EOG RESOURCES, INC.(253162)",LOVING,Submitted: 04/02/2024 Approved: 04/04/2024,898516,Horizontal,New Drill,N,14000,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497133882&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9LKRhYNRtHPbBM1gZFBswREgWwYlpy2gjy_tokDqdM6k4_F0PDILzkFmwQWIB8SmapILw1uDbc2PsPAf9mTGMUpGbZbsp4msC5eNqrRWJJCwkc9Ph4qgmmGLzns3dC8We5fi62Tx68eVtYFEGnqbzqHdh0fjPREFoE0TDvuwswabM1Fb4Ddh6rh0K-wiGw2a_t34yS4ZKYPiQpVbXc5VASfbuSEeXJrNyO1PLeSqvtavxoq73SD-7l7CaDqLVzv-exBxrNe6OSuILEHwrAho4LmgtyTi9vddzvkNQe9cd18CAAA,2024-04-02,2024-04-04,,652.29
31745965,08,PIER 22-23 UNIT 1,231,ENDEAVOR ENERGY RESOURCES L.P.(251726),MARTIN,Submitted: 02/29/2024 Approved: 04/03/2024,897808,Horizontal,New Drill,N,9821,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497038045&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9LDcduBgBO3cR9AMRgbFFhQBtmVQch-APr60iwKp0zmTjsfT8cgsOAeZBRcgbhCbqkk-DC8NtjU_wMJ_2KMZxygZtVmynyYyF943qioKRQIJG_n4sK8Iqhm26LvOD-7JYu9TfJ4sfv24sjaQqIDeplNod2Fruo4IDWjThMMuvFqDzYmoO-AXYeq4dCt0kY0GTf9muskuGSmDEreFvi_1XGk4WueHuPdpNiO3P7WQq_pcvxorrnaD-Lt7CaNxFs92_Pcg4lCvdXNWEFmC4FkRKIBnTW9JxOXvq5zzGwVmCDRfAgAA,2024-02-29,2024-04-03,,998.06
31745966,08,PIER 22-23 UNIT 1,133,ENDEAVOR ENERGY RESOURCES L.P.(251726),MARTIN,Submitted: 02/29/2024 Approved: 04/03/2024,897810,Horizontal,New Drill,N,9821,897808,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497038047&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQ09LLbDhyMoJ37CJrByKDYgiJAtgxK7gPQx5d2USB1OmfS8Xg6Hpk5YyAyZxz4DWJbt8mF4aXFrmEHWPgPc9TjGEVB7SKZTx0LG943slZKkkDARjw-7GuCcoYdOu_dYJ8M9i7F58ng149r0QUSKehNOoVuF7baeyJKQJMmHHbh1WhsT0TdAbsI08SlW6ONxahR92_aT2bJSBkkv1XlfVXNVQlHY90Q9y7NZuT2p-ZiVZ_rV2P51W4Qf3evYNTW4NmO_x6EH5q1bs4KPAvgLEsCClgu6a2IuPx9lXN-A-AboClfAgAA,2024-02-29,2024-04-03,Stacked Lateral,998.06
31745967,08,PIER 22-23 UNIT 1,234,ENDEAVOR ENERGY RESOURCES L.P.(251726),MARTIN,Submitted: 02/29/2024 Approved: 04/03/2024,897811,Horizontal,New Drill,N,9821,897808,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497038048&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9LLTDhyMop37CJrByKDYgiJAtgxK7gPwx5d2USB1OmfS8Xg6HjkJzkFOggsQN4hN1WQf-5cG25ofYOE_7NEMQ5KM2izbT5OYi-8bVWmtSCBhIx8f9hVBNcMWfQi-d08WO5_T82jx68eVtZFEGjqbT7HdxXsTAhEFoM0j9rv4ag02J6JugV-EqdPSrdAlNhg03ZsJo10yUgYltrq4K7dzVcDROt-nvc-zGbn9qYVc1ef61VhxtRuk391LGIyzeLbjvwcRh3qtm7OCmCQIPikCGvhU0FsScfn7Kuf8BkPPxyJfAgAA,2024-02-29,2024-04-03,Stacked Lateral,998.06
31745968,08,PIER 22-23 UNIT 1,135,ENDEAVOR ENERGY RESOURCES L.P.(251726),MARTIN,Submitted: 02/29/2024 Approved: 04/03/2024,897812,Horizontal,New Drill,N,9821,897808,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497038049&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9LKbDhyMop37CJrByKDYgiJAtgxK7gPwx5d2USB1OmfS8Xg6HjkJzkFOggsQN4hN1WQf-5cG25ofYOE_7NEMQ5KM2izbT5OYi-8bVWmtSCBhIx8f9hVBNcMWfQi-d08WO5_T82jx68eVtZFEGjqbT7HdxXsTAhEFoM0j9rv4ag02J6K2wC_C1GnpVugSGwya7s2E0S4ZKYMSt7q4K7dzVcDROt-nvc-zGbn9qYVc1ef61VhxtRuk391LGIyzeLbjvwcRh3qtm7OCmCQIPikCGvhU0FsScfn7Kuf8BjJFzklfAgAA,2024-02-29,2024-04-03,Stacked Lateral,998.06
31745969,08,PIER 22-23 UNIT 1,136,ENDEAVOR ENERGY RESOURCES L.P.(251726),MARTIN,Submitted: 02/29/2024 Approved: 04/03/2024,897814,Horizontal,New Drill,N,9821,897808,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497038050&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQ09LLbDByMop37CJrByKDYgiJAtgxK7gPQx5d2USB1OmfS8Xg6Hpk5YyAyZxz4DWJbt8mF4aXFrmEHWPgPc9TjGEVB7SKZTx0LG943slZKkkDARjw-7GuCcoYdOu_dYJ8M9i7F58ng149r0QUSKehNOoVuF-6190SUgCZNOOzCq9HYnoi6A3YRpolLt0Ybi1Gj7t-0n8ySkTJIfqvKbbWdqxKOxroh7l2azcjtT83Fqj7Xr8byq90g_u5ewaitwbMd_z0IPzRr3ZwVeBbAWZYEFLBc0lsRcfn7Kuf8BpGRqUJfAgAA,2024-02-29,2024-04-03,Stacked Lateral,998.06
31745970,08,PIER 22-23 UNIT 1,137,ENDEAVOR ENERGY RESOURCES L.P.(251726),MARTIN,Submitted: 02/29/2024 Approved: 04/03/2024,897818,Horizontal,New Drill,N,9821,897808,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497038051&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9HLSDhyMop2bNGgGI4NiC4oA2TIouQ_AH1_aRYHU6ZxJx-PpeOQoOAc5Ci5A3CHWZZ197HY1NhU_wsx_2JPp-yQZtVm2nyYxF99XqtRakUDCSj4_HUqCaoIN-hB8514stj6n7WDx68eVNZFEGlqbz7HZx0cTAhEFoM0Ddvv4ag3WZ6LugV-FqdLcLdEl1hs07ZsJg50zUgYlNrp42PCpKuBkne_SwefJjNz-1EIu6kv9Yqy42Q3S7-5r6I2zeLHjvwcRx2qpm7KCGCUIPioCGvhY0Lsm4vr3Tc75Dax1JF1fAgAA,2024-02-29,2024-04-03,Stacked Lateral,998.06
31745973,08,PIER 22-23 UNIT 1,132,ENDEAVOR ENERGY RESOURCES L.P.(251726),MARTIN,Submitted: 02/29/2024 Approved: 04/03/2024,897809,Horizontal,New Drill,N,9821,897808,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497038046&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9HLSDhyMop2bNGgGI4NiC4oA2TIouQ_AH1_aRYHU6ZxJx-PpeOQoOAc5Ci5A3CHWZZ197HY1NhU_wsx_2JPp-yQZtVm2nyYxF99XqtRakUDCSj4_HUqCaoIN-hB8514stj6n7WDx68eVNZFEGlqbz7HZx0cTAhEFoM0Ddvv4ag3WZ6LugV-FqdLcLdEl1hs07ZsJg50zUgYlNrp42EyByPBkne_SwefJjNz-1EIu6kv9Yqy42Q3S7-5r6I2zeLHjvwcRx2qpm7KCGCUIPioCGvhY0Lsm4vr3Tc75DUkIjEBfAgAA,2024-02-29,2024-04-03,Stacked Lateral,998.06
